symbol,name
GEEKAYWIRE,Geekay Wires Limited
GEMAROMA,Gem Aromatics Limited
GENCON,Generic Engineering Construction and Projects Limited
GENESYS,Genesys International Corporation Limited
GENUSPAPER,Genus Paper & Boards Limited
GENUSPOWER,Genus Power Infrastructures Limited
GEOJITFSL,Geojit Financial Services Limited
GESHIP,The Great Eastern Shipping Company Limited
GFLLIMITED,GFL Limited
GFSTEELS,Grand Foundry Limited
GHCL,GHCL Limited
GHCLTEXTIL,GHCL Textiles Limited
GICHSGFIN,GIC Housing Finance Limited
GICL,Globe International Carriers Limited
GICRE,General Insurance Corporation of India
GILLANDERS,Gillanders Arbuthnot & Company Limited
GILLETTE,Gillette India Limited
GIPCL,Gujarat Industries Power Company Limited
GKB,GKB Ophthalmics Limited
GKENERGY,GK Energy Limited
GKSL,Gujarat Kidney And Super Speciality Limited
GKWLIMITED,GKW Limited
GLAND,Gland Pharma Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GLFL,Gujarat Lease Financing Limited
GLOBAL,Global Education Limited
GLOBALE,Globale Tessile Limited
GLOBALVECT,Global Vectra Helicorp Limited
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED
GLOBECIVIL,Globe Civil Projects Limited
GLOBUSSPR,Globus Spirits Limited
GLOSTERLTD,Gloster Limited
GLOTTIS,Glottis Limited
GMBREW,GM Breweries Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR,GMM Pfaudler Limited
GMRAIRPORT,GMR AIRPORTS LIMITED
GMRP&UI,GMR Power and Urban Infra Limited
GNA,GNA Axles Limited
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GNRL,Gujarat Natural Resources Limited
GOACARBON,Goa Carbon Limited
GOCLCORP,GOCL Corporation Limited
GOCOLORS,Go Fashion (India) Limited
GODAVARIB,Godavari Biorefineries Limited
GODFRYPHLP,Godfrey Phillips India Limited
GODIGIT,Go Digit General Insurance Limited
GODREJAGRO,Godrej Agrovet Limited
GODREJCP,Godrej Consumer Products Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
GOKEX,Gokaldas Exports Limited
GOKUL,Gokul Refoils and Solvent Limited
GOKULAGRO,Gokul Agro Resources Limited
GOLDIAM,Goldiam International Limited
GOODLUCK,Goodluck India Limited
GOODYEAR,Goodyear India Limited
GOPAL,Gopal Snacks Limited
GOYALALUM,Goyal Aluminiums Limited
GPIL,Godawari Power And Ispat limited
GPPL,Gujarat Pipavav Port Limited
GPTHEALTH,GPT Healthcare Limited
GPTINFRA,GPT Infraprojects Limited
GRADIENTE,Gradiente Infotainment Limited
GRANDOAK,Grand Oak Canyons Distillery Limited
GRANULES,Granules India Limited
GRAPHITE,Graphite India Limited
GRASIM,Grasim Industries Limited
GRAUWEIL,Grauer & Weil India Limited
GRAVISSHO,Graviss Hospitality Limited
GRAVITA,Gravita India Limited
GREAVESCOT,Greaves Cotton Limited
GREENLAM,Greenlam Industries Limited
GREENPANEL,Greenpanel Industries Limited
GREENPLY,Greenply Industries Limited
GREENPOWER,Orient Green Power Company Limited
GRINDWELL,Grindwell Norton Limited
GRINFRA,G R Infraprojects Limited
GRMOVER,GRM Overseas Limited
GROBTEA,The Grob Tea Company Limited
GROWW,Billionbrains Garage Ventures Limited
GRPLTD,GRP Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
GRWRHITECH,Garware Hi-Tech Films Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSLSU,Global Surfaces Limited
GSPCROP,GSP Crop Science Limited
GSS,GSS Infotech Limited
GTL,GTL Limited
GTLINFRA,GTL Infrastructure Limited
GTPL,GTPL Hathway Limited
GUFICBIO,Gufic Biosciences Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
GUJENERGY,GUJARAT ENERGY LIMITED
GUJRAFFIA,Gujarat Raffia Industries Limited
GUJTHEM,Gujarat Themis Biosyn Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
GULPOLY,Gulshan Polyols Limited
GVPIL,GE Power India Limited
GVT&D,GE Vernova T&D India Limited
GYFTR,Gyftr Limited
HAL,Hindustan Aeronautics Limited
HALDER,Halder Venture Limited
HALEOSLABS,HALEOS LABS LIMITED
HAMPTON,Hampton Sky Realty Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
HAPPYFORGE,Happy Forgings Limited
HARDWYN,Hardwyn India Limited
HARIOMPIPE,Hariom Pipe Industries Limited
HARRMALAYA,Harrisons  Malayalam Limited
HARSHA,Harsha Engineers International Limited
HATHWAY,Hathway Cable & Datacom Limited
HATSUN,Hatsun Agro Product Limited
HAVELLS,Havells India Limited
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
HAWKINCOOK,Hawkins Cookers Limited
HAZOOR,Hazoor Multi Projects Limited
HBESD,HB Estate Developers Limited
HBLENGINE,HBL Engineering Limited
HBPOR,HB Portfolio Limited
HBSL,HB Stockholdings Limited
HCC,Hindustan Construction Company Limited
HCG,Healthcare Global Enterprises Limited
HCL-INSYS,HCL Infosystems Limited
HCLTECH,HCL Technologies Limited
HDBFS,HDB Financial Services Limited
HDFCAMC,HDFC Asset Management Company Limited
HDFCBANK,HDFC Bank Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HEADSUP,Heads UP Ventures Limited
HEALTHX,Health X Platform Limited
HECPROJECT,HEC Infra Projects Limited
HEIDELBERG,HeidelbergCement India Limited
HEMIPROP,Hemisphere Properties India Limited
HERANBA,Heranba Industries Limited
HERITGFOOD,Heritage Foods Limited
HEROMOTOCO,Hero MotoCorp Limited
HESTERBIO,Hester Biosciences Limited
HEXATRADEX,Hexa Tradex Limited
HEXT,Hexaware Technologies Limited
HGINFRA,H.G. Infra Engineering Limited
HGM,HandsOn Global Management (HGM) Limited
HGS,Hinduja Global Solutions Limited
HIKAL,Hikal Limited
HILINFRA,Highway Infrastructure Limited
HILTON,Hilton Metal Forging Limited
HIMATSEIDE,Himatsingka Seide Limited
HINDADH,Hindustan Adhesives Limited
HINDALCO,Hindalco Industries Limited
HINDALUMI,Hind Aluminium Industries Limited
HINDCOMPOS,Hindustan Composites Limited
HINDCON,Hindcon Chemicals Limited
HINDCOPPER,Hindustan Copper Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
HINDWAREAP,Hindware Home Innovation Limited
HINDZINC,Hindustan Zinc Limited
HIRECT,Hirect Limited
HISARMETAL,Hisar Metal Industries Limited
HITECH,Hi-Tech Pipes Limited
HLEGLAS,HLE Glascoat Limited
HLVLTD,HLV LIMITED
HMAAGRO,HMA Agro Industries Limited
HNDFDS,Hindustan Foods Limited
HOMEFIRST,Home First Finance Company India Limited
HONASA,Honasa Consumer Limited
HONAUT,Honeywell Automation India Limited
HONDAPOWER,Honda India Power Products Limited
HORIZONIND,Horizon Industrial Parks Limited
HPAL,HP Adhesives Limited
HPIL,Hindprakash Industries Limited
HPL,HPL Electric & Power Limited
HRYNSHP,Hariyana Ship Breakers Limited
HSCL,Himadri Speciality Chemical Limited
HTMEDIA,HT Media Limited
HUBTOWN,Hubtown Limited
HUDCO,Housing & Urban Development Corporation Limited
HUHTAMAKI,Huhtamaki India Limited
HYUNDAI,Hyundai Motor India Limited
IBULLSLTD,Indiabulls Limited
ICDSLTD,ICDS Limited
ICEMAKE,Ice Make Refrigeration Limited
ICICIAMC,ICICI Prudential Asset Management Company Limited
ICICIBANK,ICICI Bank Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
ICIL,Indo Count Industries Limited
ICRA,ICRA Limited
IDBI,IDBI Bank Limited
IDEA,Vodafone Idea Limited
IDEAFORGE,Ideaforge Technology Limited
IDFCFIRSTB,IDFC First Bank Limited
IEX,Indian Energy Exchange Limited
IFBAGRO,IFB Agro Industries Limited
IFBIND,IFB Industries Limited
IFCI,IFCI Limited
IFGLEXPOR,IFGL Refractories Limited
IGARASHI,Igarashi Motors India Limited
IGCL,Indogulf Cropsciences Limited
IGIL,International Gemological Institute Limited
IGL,Indraprastha Gas Limited
IGPL,IG Petrochemicals Limited
IIFL,IIFL Finance Limited
IIFLCAPS,IIFL Capital Services Limited
IITL,Industrial Investment Trust Limited
IKIO,IKIO Technologies Limited
IKS,Inventurus Knowledge Solutions Limited
IMAGICAA,Imagicaaworld Entertainment Limited
IMFA,Indian Metals & Ferro Alloys Limited
IMPAL,India Motor Parts and Accessories Limited
INA,Insolation Energy Limited
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED
INDBANK,Indbank Merchant Banking Services Limited
INDGN,Indegene Limited
INDHOTEL,The Indian Hotels Company Limited
INDIACEM,The India Cements Limited
INDIAMART,Indiamart Intermesh Limited
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company Limited
INDIANHUME,Indian Hume Pipe Company Limited
INDIASHLTR,India Shelter Finance Corporation Limited
INDIGO,InterGlobe Aviation Limited
INDIGOPNTS,Indigo Paints Limited
INDIQUBE,Indiqube Spaces Limited
INDNIPPON,India Nippon Electricals Limited
INDOBORAX,Indo Borax & Chemicals Limited
INDOCO,Indoco Remedies Limited
INDOFARM,Indo Farm Equipment Limited
INDOKEM,Indokem Limited
INDOMIM,INDO-MIM Limited
INDORAMA,Indo Rama Synthetics (India) Limited
INDOSTAR,IndoStar Capital Finance Limited
INDOTECH,Indo Tech Transformers Limited
INDOTHAI,Indo Thai Securities Limited
INDOUS,Indo Us Biotech Limited
INDOWIND,Indowind Energy Limited
INDPRUD,Industrial & Prudential Investment Company Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
INDTERRAIN,Indian Terrain Fashions Limited
INDUSINDBK,IndusInd Bank Limited
INDUSTOWER,Indus Towers Limited
INFOBEAN,InfoBeans Technologies Limited
INFOMEDIA,Infomedia Press Limited
INFY,Infosys Limited
INGERRAND,Ingersoll Rand (India) Limited
INNOVACAP,Innova Captab Limited
INNOVANA,Innovana Thinklabs Limited
INNOVISION,Innovision Limited
INOXGREEN,Inox Green Energy Services Limited
INOXINDIA,INOX India Limited
INOXWIND,Inox Wind Limited
INSECTICID,Insecticides (India) Limited
INSPIRISYS,Inspirisys Solutions Limited
INTELLECT,Intellect Design Arena Limited
INTENTECH,Intense Technologies Limited
INTERARCH,Interarch Building Solutions Limited
INTLCONV,International Conveyors Limited
INVENTURE,Inventure Growth & Securities Limited
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
IONEXCHANG,ION Exchange (India) Limited
IPCALAB,IPCA Laboratories Limited
IPL,India Pesticides Limited
IPRINGLTD,IP Rings Limited
IRB,IRB Infrastructure Developers Limited
IRCON,Ircon International Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
IREDA,Indian Renewable Energy Development Agency Limited
IRFC,Indian Railway Finance Corporation Limited
IRIS,IRIS RegTech Solutions Limited
IRISDOREME,Iris Clothings Limited
IRMENERGY,IRM Energy Limited
ISFT,Intrasoft Technologies Limited
ISGEC,Isgec Heavy Engineering Limited
ISHANCH,Ishan Dyes and Chemicals Limited
ISTLTD,I S T Limited
ITC,ITC Limited
ITCHOTELS,ITC Hotels Limited
ITDC,India Tourism Development Corporation Limited
ITI,ITI Limited
ITL,ITL Industries Limited
IVALUE,Ivalue Infosolutions Limited
IVC,IL&FS Investment Managers Limited
IWP,The Indian Wood Products Company Limited
IXIGO,Le Travenues Technology Limited
IZMO,IZMO Limited
J&KBANK,The Jammu & Kashmir Bank Limited
JAGRAN,Jagran Prakashan Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,Jai Balaji Industries Limited
JAICORPLTD,Jai Corp Limited
JAINREC,Jain Resource Recycling Limited
JAIPURKURT,Nandani Creation Limited
JAMNAAUTO,Jamna Auto Industries Limited
JARO,Jaro Institute of Technology Management and Research Limited
JASH,Jash Engineering Limited
JAYAGROGN,Jayant Agro Organics Limited
JAYBARMARU,Jay Bharat Maruti Limited
JAYKAY,Jaykay Enterprises Limited
JAYNECOIND,Jayaswal Neco Industries Limited
JAYSREETEA,Jayshree Tea & Industries Limited
JBMA,JBM Auto Limited
JENBURPH,Jenburkt Pharmaceuticals Limited
JETFREIGHT,Jet Freight Logistics Limited
JGCHEM,J.G.Chemicals Limited
JHS,JHS Svendgaard Laboratories Limited
JINDALPHOT,Jindal Photo Limited
JINDALPOLY,Jindal Poly Films Limited
JINDALSAW,Jindal Saw Limited
JINDALSTEL,JINDAL STEEL LIMITED
JINDRILL,Jindal Drilling And Industries Limited
JINDWORLD,Jindal Worldwide Limited
JIOFIN,Jio Financial Services Limited
JISLDVREQS,Jain Irrigation Systems Limited
JISLJALEQS,Jain Irrigation Systems Limited
JITFINFRA,JITF Infralogistics Limited
JKCEMENT,JK Cement Limited
JKIL,J.Kumar Infraprojects Limited
JKIPL,Jinkushal Industries Limited
JKLAKSHMI,JK Lakshmi Cement Limited
JKPAPER,JK Paper Limited
JKTYRE,JK Tyre & Industries Limited
JLHL,Jupiter Life Line Hospitals Limited
JMA,Jullundur Motor Agency (Delhi) Limited
JMFINANCIL,JM Financial Limited
JNKINDIA,JNK India Limited
JNPR,Juniper Green Energy Limited
JOCIL,Jocil Limited
JPOLYINVST,Jindal Poly Investment and Finance Company Limited
JPPOWER,Jaiprakash Power Ventures Limited
JSFB,Jana Small Finance Bank Limited
JSL,Jindal Stainless Limited
JSLL,Jeena Sikho Lifecare Limited
JSWCEMENT,JSW Cement Limited
JSWDULUX,JSW Dulux Limited
JSWENERGY,JSW Energy Limited
JSWHL,JSW Holdings Limited
JSWINFRA,JSW Infrastructure Limited
JSWSTEEL,JSW Steel Limited
JTEKTINDIA,Jtekt India Limited
JTLIND,JTL INDUSTRIES LIMITED
JUBLCPL,Jubilant Agri and Consumer Products Limited
JUBLFOOD,Jubilant Foodworks Limited
JUBLINGREA,Jubilant Ingrevia Limited
JUBLPHARMA,Jubilant Pharmova Limited
JUNIPER,Juniper Hotels Limited
JUSTDIAL,Just Dial Limited
JWL,Jupiter Wagons Limited
JYOTHYLAB,Jyothy Labs Limited
JYOTICNC,Jyoti CNC Automation Limited
JYOTIRES,Jyoti Resins & Adhesives Limited
JYOTISTRUC,Jyoti Structures Limited
KABRAEXTRU,Kabra Extrusion Technik Limited
KAJARIACER,Kajaria Ceramics Limited
KAKATCEM,Kakatiya Cement Sugar & Industries Limited
KALAMANDIR,Sai Silks (Kalamandir) Limited
KALPATARU,Kalpataru Limited
KALYANKJIL,Kalyan Jewellers India Limited
KAMAHOLD,Kama Holdings Limited
KAMANWALA,Kamanwala Housing Construction Limited
KAMATHOTEL,Kamat Hotels (I) Limited
KAMOPAINTS,Kamdhenu Ventures Limited
KANANIIND,Kanani Industries Limited
KANCHI,Kanchi Karpooram Limited
KANCOTEA,Kanco Tea & Industries Limited
KANPRPLA,Kanpur Plastipack Limited
KANSAINER,Kansai Nerolac Paints Limited
KAPSTON,Kapston Services Limited
KARMAENG,Karma Energy Limited
KARURVYSYA,Karur Vysya Bank Limited
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited
KAYNES,Kaynes Technology India Limited
KCP,KCP Limited
KDDL,KDDL Limited
KDGREEN,KD Green Industries Limited
KEC,KEC International Limited
KECL,Kirloskar Electric Company Limited
KEEPLEARN,DSJ Keep Learning Limited
KEI,KEI Industries Limited
KELLTONTEC,Kellton Tech Solutions Limited
KENNAMET,Kennametal India Limited
KERNEX,Kernex Microsystems (India) Limited
KEYFINSERV,Keynote Financial Services Limited
KFINTECH,Kfin Technologies Limited
KHAICHEM,Khaitan Chemicals & Fertilizers Limited
KHAITANLTD,Khaitan (India) Limited
KHANDSE,Khandwala Securities Limited
KICL,Kalyani Investment Company Limited
KIMS,Krishna Institute of Medical Sciences Limited
KINGFA,Kingfa Science & Technology (India) Limited
KIOCL,KIOCL Limited
KIRANVYPAR,Kiran Vyapar Limited
KIRIINDUS,Kiri Industries Limited
KIRLFER,Kirloskar Ferrous Industries Limited
KIRLOSBROS,Kirloskar Brothers Limited
KIRLOSENG,Kirloskar Oil Engines Limited
KIRLOSIND,Kirloskar Industries Limited
KIRLPNU,Kirloskar Pneumatic Company Limited
KISSHT,OnEMI Technology Solutions Limited
KITEX,Kitex Garments Limited
KJMCFIN,KJMC Financial Services Limited
KKCL,Kewal Kiran Clothing Limited
KLBRENG-B,Kilburn Engineering Limited
KMCSHIL,K M C Speciality Hospitals (India) Limited
KMEW,Knowledge Marine & Engineering Works Limited
KMSUGAR,K.M.Sugar Mills Limited
KNACK,Knack Packaging Limited
KNAGRI,KN Agri Resources Limited
KNRCON,KNR Constructions Limited
KOHINOOR,Kohinoor Foods Limited
KOKUYOCMLN,Kokuyo Camlin Limited
KOLTEPATIL,Kolte - Patil Developers Limited
KOPRAN,Kopran Limited
KOTAKBANK,Kotak Mahindra Bank Limited
KOTHARIPET,Kothari Petrochemicals Limited
KOTHARIPRO,Kothari Products Limited
KOTIC,Kothari Industrial Corporation Limited
KOVAI,Kovai Medical Center & Hospital Limited
KPEL,K.P. Energy Limited
KPIGREEN,KPI Green Energy Limited
KPIL,Kalpataru Projects International Limited
KPITTECH,KPIT Technologies Limited
KPL,Kwality Pharmaceuticals Limited
KPRMILL,K.P.R. Mill Limited
KRBL,KRBL Limited
KREBSBIO,Krebs Biochemicals and Industries Limited
KRIDHANINF,Kridhan Infra Limited
KRISHANA,Krishana Phoschem Limited
KRISHIVAL,Krishival Foods Limited
KRISHNADEF,Krishna Defence And Allied Industries Limited
KRITI,Kriti Industries (India) Limited
KRITIKA,Kritika Wires Limited
KRITINUT,Kriti Nutrients Limited
KRN,KRN Heat Exchanger and Refrigeration Limited
KROSS,Kross Limited
KRSNAA,Krsnaa Diagnostics Limited
KRYSTAL,Krystal Integrated Services Limited
KSB,Ksb Limited
KSCL,Kaveri Seed Company Limited
KSE,KSE Limited
KSHINTL,KSH International Limited
KSHITIJPOL,Kshitij Polyline Limited
KSL,Kalyani Steels Limited
KSOLVES,Ksolves India Limited
KSR,KSR Footwear Limited
KTKBANK,The Karnataka Bank Limited
KUANTUM,Kuantum Papers Limited
KUSUMGAR,Kusumgar Limited
KWIL,Kwality Wall's (India) Limited
LADDERUP,Ladderup Finance Limited
LAGNAM,Lagnam Spintex Limited
LAHOTIOV,Lahoti Overseas Limited
LAKSHMIMIL,Lakshmi Mills Company Limited
LAL,Lorenzini Apparels Limited
LALITHAA,Lalithaa Jewellery Mart Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
LAMBODHARA,Lambodhara Textiles Limited
LANCER,Lancer Container Lines Limited
LANCORHOL,Lancor Holdings Limited
LANDMARK,Landmark Cars Limited
LANDSMILL,Landsmill Green Limited
LAOPALA,La Opala RG Limited
LASA,Lasa Supergenerics Limited
LASERPOWER,Laser Power & Infra Limited
LATENTVIEW,Latent View Analytics Limited
LATTEYS,Latteys Industries Limited
LAURUSLABS,Laurus Labs Limited
LAXMICOT,Laxmi Cotspin Limited
LAXMIDENTL,Laxmi Dental Limited
LAXMIINDIA,Laxmi India Finance Limited
LCCINFOTEC,LCC Infotech Limited
LCL,Lohia Corp Limited
LEAPIND,LEAP India Limited
LEMERITE,Le Merite Exports Limited
LEMONTREE,Lemon Tree Hotels Limited
LENSKART,Lenskart Solutions Limited
LEXUS,Lexus Granito (India) Limited
LFIC,Lakshmi Finance & Industrial Corporation Limited
LGBBROSLTD,LG Balakrishnan & Bros Limited
LGEINDIA,LG Electronics India Limited
LGHL,Laxmi Goldorna House Limited
LIBAS,Libas Consumer Products Limited
LIBERTSHOE,Liberty Shoes Limited
LICHSGFIN,LIC Housing Finance Limited
LICI,Life Insurance Corporation Of India
LIKHITHA,Likhitha Infrastructure Limited
LINC,Linc Limited
LINCOLN,Lincoln Pharmaceuticals Limited
LINDEINDIA,Linde India Limited
LKPSEC,LKP Securities Limited
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED
LLOYDSENT,Lloyds Enterprises Limited
LLOYDSME,Lloyds Metals And Energy Limited
LMW,LMW Limited
LODHA,Lodha Developers Limited
LOKESHMACH,Lokesh Machines Limited
LORDSCHLO,Lords Chloro Alkali Limited
LOTUSCHO,Lotus Chocolate Company Limited
LOTUSEYE,Lotus Eye Hospital and Institute Limited
LOVABLE,Lovable Lingerie Limited
LOYALTEX,Loyal Textile Mills Limited
LPDC,Landmark Property Development Company Limited
LT,Larsen & Toubro Limited
LTF,L&T Finance Limited
LTFOODS,LT Foods Limited
LTM,LTM Limited
LTTS,L&T Technology Services Limited
LUMAXIND,Lumax Industries Limited
LUMAXTECH,Lumax Auto Technologies Limited
LUMINO,Lumino Industries Limited
LUPIN,Lupin Limited
LUXIND,Lux Industries Limited
LXCHEM,Laxmi Organic Industries Limited
M&M,Mahindra & Mahindra Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
MAANALU,Maan Aluminium Limited
MACPOWER,Macpower CNC Machines Limited
MADHAV,Madhav Marbles and Granites Limited
MADHAVIPL,Madhav Infra Projects Limited
MADRASFERT,Madras Fertilizers Limited
MAFATIND,Mafatlal Industries Limited
MAGADSUGAR,Magadh Sugar & Energy Limited
MAGNUM,Magnum Ventures Limited
MAHABANK,Bank of Maharashtra
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
MAHEPC,Mahindra EPC Irrigation Limited
MAHLIFE,Mahindra Lifespace Developers Limited
MAHLOG,Mahindra Logistics Limited
MAHSCOOTER,Maharashtra Scooters Limited
MAHSEAMLES,Maharashtra Seamless Limited
MAITHANALL,Maithan Alloys Limited
MAKERSL,Makers Laboratories Limited
MALLCOM,Mallcom (India) Limited
MALUPAPER,Malu Paper Mills Limited
MAMATA,Mamata Machinery Limited
MANAKALUCO,Manaksia Aluminium Company Limited
MANAKCOAT,Manaksia Coated Metals & Industries Limited
MANAKSIA,Manaksia Limited
MANALIPETC,Manali Petrochemicals Limited
MANAPPURAM,Manappuram Finance Limited
MANBA,Manba Finance Limited
MANCREDIT,Mangal Credit and Fincorp Limited
MANGALAM,Mangalam Drugs And Organics Limited
MANGLMCEM,Mangalam Cement Limited
MANINDS,Man Industries (India) Limited
MANINFRA,Man Infraconstruction Limited
MANIPALHOS,Manipal Health Enterprises Limited
MANKIND,Mankind Pharma Limited
MANOMAY,Manomay Tex India Limited
MANORAMA,Manorama Industries Limited
MANORG,Mangalam Organics Limited
MANYAVAR,Vedant Fashions Limited
MAPMYINDIA,C.E. Info Systems Limited
MARALOVER,Maral Overseas Limited
MARATHON,Marathon Nextgen Realty Limited
MARICO,Marico Limited
MARINE,Marine Electricals (India) Limited
MARKOLINES,Markolines Pavement Technologies Limited
MARKSANS,Marksans Pharma Limited
MARSONS,Marsons Limited
MARUTI,Maruti Suzuki India Limited
MASFIN,MAS Financial Services Limited
MASKINVEST,Mask Investments Limited
MASTEK,Mastek Limited
MASTERTR,Master Trust Limited
MATRIMONY,Matrimony.Com Limited
MAWANASUG,Mawana Sugars Limited
MAXESTATES,Max Estates Limited
MAXHEALTH,Max Healthcare Institute Limited
MAXIND,Max India Limited
MAYURUNIQ,Mayur Uniquoters Ltd
MAZDOCK,Mazagon Dock Shipbuilders Limited
MBAPL,Madhya Bharat Agro Products Limited
MBEL,M & B Engineering Limited
MBLINFRA,MBL Infrastructure Limited
MCCHRLS-B,Mac Charles India Limited
MCL,M TEK COPPER LIMITED
MCLEODRUSS,Mcleod Russel India Limited
MCLOUD,Magellanic Cloud Limited
MCX,Multi Commodity Exchange of India Limited
MEDANTA,Global Health Limited
MEDIASSIST,Medi Assist Healthcare Services Limited
MEDICAMEQ,Medicamen Biotech Limited
MEDICAPQ,Medi Caps Limited
MEDICO,Medico Remedies Limited
MEDPLUS,Medplus Health Services Limited
MEESHO,Meesho Limited
MEGASTAR,Megastar Foods Limited
MEIL,Mangal Electrical Industries Limited
MENNPIS,Menon Pistons Limited
MERCANTILE,Mercantile Ventures Limited
MERCURYEV,Mercury Ev-Tech Limited
METROBRAND,Metro Brands Limited
METROGLOBL,Metroglobal Limited
METROPOLIS,Metropolis Healthcare Limited
MFML,Mahalaxmi Fabric Mills Limited
MFSL,Max Financial Services Limited
MGEL,Mangalam Global Enterprise Limited
MGL,Mahanagar Gas Limited
MHRIL,Mahindra Holidays & Resorts India Limited
MIDHANI,Mishra Dhatu Nigam Limited
MIDWESTLTD,Midwest Limited
MIIL,Meghna Infracon Infrastructure Limited
MILKYMIST,Milky Mist Dairy Food Limited
MINDACORP,Minda Corporation Limited
MINDTECK,Mindteck (India) Limited
MIRZAINT,Mirza International Limited
MITCON,MITCON Consultancy & Engineering Services Limited
MITTAL,Mittal Life Style Limited
MKEXIM,M.K. Exim (India) Limited
MKPL,M K Proteins Limited
MLKFOOD,Milkfood Limited
MMFL,MM Forgings Limited
MMP,MMP Industries Limited
MMTC,MMTC Limited
MMWL,Media Matrix Worldwide Limited
MOBIKWIK,One Mobikwik Systems Limited
MODINATUR,Modi Naturals Limited
MODIRUBBER,Modi Rubber Limited
MODIS,Modis Navnirman Limited
MODISONLTD,MODISON LIMITED
MODTHREAD,Modern Threads (India) Limited
MOHITE,Mohite Industries Limited
MOHITIND,Mohit Industries Limited
MOIL,MOIL Limited
MOKSH,Moksh Ornaments Limited
MOL,Meghmani Organics Limited
MOLBIO,Molbio Diagnostics Limited
MOLDTKPAC,Mold-Tek Packaging Limited
MONARCH,Monarch Networth Capital Limited
MONEYBOXX,Moneyboxx Finance Limited
MONTECARLO,Monte Carlo Fashions Limited
MOREPENLAB,Morepen Laboratories Limited
MOSCHIP,Moschip Technologies Limited
MOTHERSON,Samvardhana Motherson International Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
MOTISONS,Motisons Jewellers Limited
MOTOGENFIN,The Motor & General Finance Limited
MPHASIS,MphasiS Limited
MPSLTD,MPS Limited
MRF,MRF Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
MSL,Mangalam Seeds Limited
MSPL,MSP Steel & Power Limited
MSTCLTD,Mstc Limited
MSUMI,Motherson Sumi Wiring India Limited
MTNL,Mahanagar Telephone Nigam Limited
MUFIN,Mufin Green Finance Limited
MUFTI,Credo Brands Marketing Limited
MUKANDLTD,Mukand Limited
MUKESHB,Mukesh Babu Financial Services Limited
MUKKA,Mukka Proteins Limited
MUNJALAU,Munjal Auto Industries Limited
MUNJALSHOW,Munjal Showa Limited
MURUDCERA,Murudeshwar Ceramics Limited
MUTHOOTCAP,Muthoot Capital Services Limited
MUTHOOTFIN,Muthoot Finance Limited
MUTHOOTMF,Muthoot Microfin Limited
MVELECTRO,MV Electrosystems Limited
MVGJL,Manoj Vaibhav Gems N Jewellers Limited
MWL,Mangalam Worldwide Limited
NACLIND,NACL Industries Limited
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
NAGREEKEXP,Nagreeka Exports Limited
NAHARCAP,Nahar Capital and Financial Services Limited
NAHARINDUS,Nahar Industrial Enterprises Limited
NAHARPOLY,Nahar Poly Films Limited
NAHARSPING,Nahar Spinning Mills Limited
NAM-INDIA,Nippon Life India Asset Management Limited
NARMADA,Narmada Agrobase Limited
NATCOPHARM,Natco Pharma Limited
NATHBIOGEN,Nath Bio-Genes (India) Limited
NATIONALUM,National Aluminium Company Limited
NATIONSTD,National Standard (India) Limited
NAUKRI,Info Edge (India) Limited
NAVA,NAVA LIMITED
NAVINFLUOR,Navin Fluorine International Limited
NAVKARCORP,Navkar Corporation Limited
NAVNETEDUL,Navneet Education Limited
NAZARA,Nazara Technologies Limited
